Season,Injury,From,Until,Days,GamesMissed,Player,PlayerID,Weeks
17/18,unknown injury,2017-12-07,2017-12-13,6.0,2,Necip Uysal,77710,0.9
16/17,Torn thigh muscle,2017-02-27,2017-03-09,10.0,3,Necip Uysal,77710,1.4
16/17,Hamstring strain,2016-10-27,2016-11-21,25.0,4,Necip Uysal,77710,3.6
14/15,Torn thigh muscle,2014-12-15,2015-01-05,21.0,5,Necip Uysal,77710,3.0
13/14,Ankle ligament tear,2014-05-05,2014-05-19,14.0,2,Necip Uysal,77710,2.0
13/14,Calf muscle tear,2014-01-27,2014-02-06,10.0,1,Necip Uysal,77710,1.4
24/25,Hamstring strain,2024-10-03,2024-10-23,20.0,3,Ersin Destanoğlu,500091,2.9
22/23,Appendectomy,2023-05-22,2023-06-08,17.0,2,Ersin Destanoğlu,500091,2.4
21/22,Ligament stretching,2022-05-13,2022-06-15,33.0,2,Ersin Destanoğlu,500091,4.7
23/24,Fitness,2024-05-16,2024-05-19,3.0,1,Daniel Amartey,214056,0.4
23/24,Hip problems,2024-05-10,2024-05-16,6.0,1,Daniel Amartey,214056,0.9
23/24,Groin injury,2023-11-17,2023-12-02,15.0,3,Daniel Amartey,214056,2.1
23/24,Hamstring strain,2023-10-21,2023-11-07,17.0,4,Daniel Amartey,214056,2.4
23/24,unknown injury,2023-10-08,2023-10-12,4.0,1,Daniel Amartey,214056,0.6
23/24,Hip problems,2023-09-14,2023-09-18,4.0,1,Daniel Amartey,214056,0.6
23/24,unknown injury,2023-08-29,2023-09-12,14.0,4,Daniel Amartey,214056,2.0
20/21,Hamstring injury,2020-10-05,2020-12-19,75.0,19,Daniel Amartey,214056,10.7
19/20,Ankle injury,2019-12-20,2020-09-12,267.0,27,Daniel Amartey,214056,38.1
18/19,Ankle surgery,2018-10-28,2019-09-23,330.0,46,Daniel Amartey,214056,47.1
17/18,Hamstring injury,2018-03-03,2018-05-14,72.0,11,Daniel Amartey,214056,10.3
13/14,Leg injury,2013-04-28,2013-05-05,7.0,2,Daniel Amartey,214056,1.0
13/14,Broken cheekbone,2013-04-16,2013-04-25,9.0,2,Daniel Amartey,214056,1.3
24/25,Muscle injury,2024-11-04,2024-12-04,30.0,4,Eric Bailly,286384,4.3
23/24,Muscle injury,2024-02-03,2024-02-16,13.0,3,Eric Bailly,286384,1.9
23/24,Hamstring strain,2023-11-22,2023-12-06,14.0,3,Eric Bailly,286384,2.0
23/24,Neck injury,2023-11-09,2023-11-17,8.0,2,Eric Bailly,286384,1.1
23/24,Shoulder injury,2023-10-08,2023-10-29,21.0,3,Eric Bailly,286384,3.0
23/24,Hamstring strain,2023-10-08,2023-10-29,21.0,3,Eric Bailly,286384,3.0
22/23,Dead leg,2022-10-21,2022-12-22,62.0,8,Eric Bailly,286384,8.9
22/23,Thigh problems,2022-09-14,2022-09-29,15.0,3,Eric Bailly,286384,2.1
21/22,Ankle injury,2022-02-03,2022-02-16,13.0,4,Eric Bailly,286384,1.9
20/21,Corona virus,2021-03-31,2021-04-20,20.0,5,Eric Bailly,286384,2.9
20/21,Knock,2021-03-17,2021-03-25,8.0,2,Eric Bailly,286384,1.1
20/21,Knock,2021-02-03,2021-02-13,10.0,2,Eric Bailly,286384,1.4
20/21,Knock,2021-01-21,2021-01-29,8.0,2,Eric Bailly,286384,1.1
20/21,Muscle injury,2020-10-18,2020-12-01,44.0,11,Eric Bailly,286384,6.3
19/20,Neck injury,2020-07-20,2020-07-25,5.0,1,Eric Bailly,286384,0.7
24/25,unknown injury,2025-05-12,2025-05-19,7.0,1,İrfan Can Kahveci,216603,1.0
24/25,influenza,2025-02-04,2025-02-06,2.0,1,İrfan Can Kahveci,216603,0.3
24/25,Torn thigh muscle,2024-11-03,2024-11-20,17.0,5,İrfan Can Kahveci,216603,2.4
23/24,unknown injury,2024-06-10,2024-06-24,14.0,2,İrfan Can Kahveci,216603,2.0
23/24,Calf muscle tear,2024-05-06,2024-05-26,20.0,4,İrfan Can Kahveci,216603,2.9
23/24,Muscle tear,2024-02-23,2024-03-09,15.0,4,İrfan Can Kahveci,216603,2.1
23/24,Rest,2023-10-04,2023-10-06,2.0,1,İrfan Can Kahveci,216603,0.3
22/23,strain,2022-07-27,2022-08-16,20.0,5,İrfan Can Kahveci,216603,2.9
21/22,Broken shoulder,2022-02-05,2022-02-21,16.0,5,İrfan Can Kahveci,216603,2.3
21/22,Fitness,2021-10-16,2021-10-22,6.0,2,İrfan Can Kahveci,216603,0.9
21/22,Hamstring injury,2021-09-12,2021-10-16,34.0,9,İrfan Can Kahveci,216603,4.9
21/22,Fitness,2021-09-05,2021-09-08,3.0,1,İrfan Can Kahveci,216603,0.4
21/22,Hamstring injury,2021-08-19,2021-09-05,17.0,6,İrfan Can Kahveci,216603,2.4
20/21,Hamstring strain,2021-05-11,2021-05-28,17.0,3,İrfan Can Kahveci,216603,2.4
20/21,Corona virus,2021-03-22,2021-04-03,12.0,3,İrfan Can Kahveci,216603,1.7
25/26,Shoulder injury,2025-08-12,2025-08-19,7.0,2,Mert Müldür,353922,1.0
24/25,unknown injury,2025-04-20,2025-05-02,12.0,2,Mert Müldür,353922,1.7
24/25,Shoulder injury,2025-01-22,2025-02-11,20.0,6,Mert Müldür,353922,2.9
22/23,Fitness,2023-02-24,2023-05-07,72.0,12,Mert Müldür,353922,10.3
22/23,Fitness,2023-01-14,2023-02-13,30.0,5,Mert Müldür,353922,4.3
22/23,Broken ankle,2022-08-15,2023-01-13,151.0,21,Mert Müldür,353922,21.6
20/21,Quarantine,2021-04-01,2021-04-08,7.0,2,Mert Müldür,353922,1.0
25/26,Fitness,2025-08-01,2025-08-07,6.0,1,İsmail Yüksek,613725,0.9
25/26,unknown injury,2025-07-16,2025-08-01,16.0,-,İsmail Yüksek,613725,2.3
24/25,minor knock,2025-04-05,2025-04-07,2.0,1,İsmail Yüksek,613725,0.3
24/25,unknown injury,2025-03-12,2025-03-15,3.0,1,İsmail Yüksek,613725,0.4
24/25,Fitness,2025-02-28,2025-03-07,7.0,2,İsmail Yüksek,613725,1.0
24/25,Torn thigh muscle,2025-02-09,2025-02-28,19.0,6,İsmail Yüksek,613725,2.7
24/25,Fitness,2025-01-24,2025-01-27,3.0,1,İsmail Yüksek,613725,0.4
24/25,Partial muscle tear,2025-01-02,2025-01-24,22.0,5,İsmail Yüksek,613725,3.1
24/25,Shoulder injury,2024-10-03,2024-10-21,18.0,4,İsmail Yüksek,613725,2.6
23/24,Torn ankle ligaments,2024-04-27,2024-06-01,35.0,5,İsmail Yüksek,613725,5.0
23/24,Hamstring injury,2024-04-02,2024-04-08,6.0,2,İsmail Yüksek,613725,0.9
22/23,Torn thigh muscle,2023-04-29,2023-05-06,7.0,2,İsmail Yüksek,613725,1.0
22/23,bruise,2022-10-25,2022-10-28,3.0,1,İsmail Yüksek,613725,0.4
22/23,Fitness,2022-08-31,2022-09-04,4.0,1,İsmail Yüksek,613725,0.6
22/23,bruise,2022-08-28,2022-08-31,3.0,1,İsmail Yüksek,613725,0.4
24/25,Muscle injury,2025-02-05,2025-02-22,17.0,5,Alexander Djiku,250844,2.4
24/25,unknown injury,2024-11-10,2024-11-21,11.0,3,Alexander Djiku,250844,1.6
24/25,bruise,2024-11-03,2024-11-09,6.0,2,Alexander Djiku,250844,0.9
24/25,Fitness,2024-09-10,2024-09-16,6.0,1,Alexander Djiku,250844,0.9
24/25,Hamstring strain,2024-08-30,2024-09-10,11.0,3,Alexander Djiku,250844,1.6
23/24,Fitness,2024-04-12,2024-04-15,3.0,1,Alexander Djiku,250844,0.4
23/24,bruise,2024-04-03,2024-04-12,9.0,3,Alexander Djiku,250844,1.3
23/24,fracture,2023-10-26,2023-12-05,40.0,10,Alexander Djiku,250844,5.7
23/24,unknown injury,2023-10-08,2023-10-15,7.0,2,Alexander Djiku,250844,1.0
23/24,unknown injury,2023-07-26,2023-08-09,14.0,2,Alexander Djiku,250844,2.0
22/23,Muscle injury,2023-03-01,2023-03-08,7.0,1,Alexander Djiku,250844,1.0
22/23,muscular problems,2022-10-24,2022-11-01,8.0,1,Alexander Djiku,250844,1.1
20/21,Adductor pain,2021-03-04,2021-04-04,31.0,5,Alexander Djiku,250844,4.4
17/18,Achilles tendon problems,2017-09-14,2017-11-18,65.0,10,Alexander Djiku,250844,9.3
16/17,Broken arm,2016-08-28,2017-01-01,126.0,22,Alexander Djiku,250844,18.0
23/24,unknown injury,2023-11-21,2024-01-25,65.0,13,Miha Zajc,149829,9.3
23/24,Rest,2023-09-27,2023-09-29,2.0,1,Miha Zajc,149829,0.3
23/24,unknown injury,2023-08-20,2023-09-04,15.0,4,Miha Zajc,149829,2.1
22/23,Fitness,2023-04-25,2023-04-30,5.0,1,Miha Zajc,149829,0.7
22/23,Torn thigh muscle,2023-04-16,2023-04-25,9.0,2,Miha Zajc,149829,1.3
22/23,muscular problems,2022-10-12,2022-10-18,6.0,2,Miha Zajc,149829,0.9
21/22,unknown injury,2022-02-22,2022-02-25,3.0,1,Miha Zajc,149829,0.4
21/22,unknown injury,2022-02-02,2022-02-09,7.0,2,Miha Zajc,149829,1.0
21/22,unknown injury,2021-09-12,2021-09-28,16.0,5,Miha Zajc,149829,2.3
20/21,Corona virus,2020-10-02,2020-10-19,17.0,4,Miha Zajc,149829,2.4
19/20,Torn ankle ligaments,2019-12-14,2020-01-15,32.0,5,Miha Zajc,149829,4.6
23/24,minor knock,2024-04-02,2024-04-04,2.0,1,Michy Batshuayi,179184,0.3
22/23,Fitness,2023-04-11,2023-04-30,19.0,4,Michy Batshuayi,179184,2.7
22/23,Groin injury,2023-03-16,2023-04-11,26.0,7,Michy Batshuayi,179184,3.7
22/23,unknown injury,2023-02-26,2023-03-07,9.0,1,Michy Batshuayi,179184,1.3
21/22,Tonsillitis,2021-11-17,2021-11-22,5.0,1,Michy Batshuayi,179184,0.7
21/22,Hamstring strain,2021-10-30,2021-11-21,22.0,6,Michy Batshuayi,179184,3.1
21/22,Inner ligament stretch of the knee,2021-09-21,2021-09-25,4.0,2,Michy Batshuayi,179184,0.6
17/18,Torn ankle ligaments,2018-04-16,2018-05-21,35.0,4,Michy Batshuayi,179184,5.0
17/18,Ankle injury,2017-11-09,2017-11-30,21.0,6,Michy Batshuayi,179184,3.0
24/25,Muscle injury,2025-05-14,2025-06-11,28.0,6,Uğurcan Çakır,292199,4.0
24/25,Muscle injury,2025-04-27,2025-05-06,9.0,2,Uğurcan Çakır,292199,1.3
23/24,Hamstring injury,2024-03-04,2024-03-12,8.0,2,Uğurcan Çakır,292199,1.1
23/24,Knee bruise,2023-11-21,2023-11-30,9.0,1,Uğurcan Çakır,292199,1.3
22/23,unknown injury,2023-05-30,2023-06-07,8.0,3,Uğurcan Çakır,292199,1.1
22/23,Injury to abdominal muscles,2022-08-24,2022-09-03,10.0,3,Uğurcan Çakır,292199,1.4
20/21,Corona virus,2021-02-14,2021-02-25,11.0,1,Uğurcan Çakır,292199,1.6
20/21,Hamstring strain,2020-09-26,2020-10-03,7.0,2,Uğurcan Çakır,292199,1.0
19/20,Injury to the ankle,2019-12-28,2020-01-17,20.0,2,Uğurcan Çakır,292199,2.9
18/19,Torn thigh muscle,2019-02-02,2019-02-18,16.0,4,Uğurcan Çakır,292199,2.3
15/16,Fitness,2016-02-29,2016-03-07,7.0,1,Uğurcan Çakır,292199,1.0
15/16,Injury to the ankle,2016-02-18,2016-02-29,11.0,2,Uğurcan Çakır,292199,1.6
15/16,Injury to abdominal muscles,2015-10-10,2015-11-08,29.0,5,Uğurcan Çakır,292199,4.1
25/26,Meniscus irritation,2025-08-16,2025-09-01,16.0,3,Onuralp Çevikkan,1054214,2.3
25/26,Fitness,2025-08-08,2025-08-12,4.0,1,Onuralp Çevikkan,1054214,0.6
24/25,Meniscus tear,2025-03-12,2025-05-31,80.0,14,Onuralp Çevikkan,1054214,11.4
24/25,Fitness,2025-02-18,2025-03-09,19.0,4,Onuralp Çevikkan,1054214,2.7
24/25,Broken finger,2025-01-16,2025-02-18,33.0,5,Onuralp Çevikkan,1054214,4.7
04/05,unknown injury,2005-04-15,2005-05-02,17.0,3,Ahmet Yıldırım,6905,2.4
04/05,Pelvic contusion,2004-12-02,2004-12-07,5.0,1,Ahmet Yıldırım,6905,0.7
02/03,Broken nose bone,2003-04-05,2003-04-14,9.0,2,Ahmet Yıldırım,6905,1.3
02/03,Fitness,2002-09-29,2002-10-10,11.0,2,Ahmet Yıldırım,6905,1.6
01/02,Calf strain,2002-01-13,2002-01-22,9.0,1,Ahmet Yıldırım,6905,1.3
00/01,flu,2001-02-01,2001-02-07,6.0,2,Ahmet Yıldırım,6905,0.9
00/01,Groin strain,2000-10-09,2000-11-02,24.0,7,Ahmet Yıldırım,6905,3.4
00/01,Groin strain,2000-09-27,2000-10-05,8.0,2,Ahmet Yıldırım,6905,1.1
00/01,Injury to the ankle,2000-08-05,2000-08-23,18.0,6,Ahmet Yıldırım,6905,2.6
99/00,Groin strain,1999-12-22,2000-02-15,55.0,11,Ahmet Yıldırım,6905,7.9
99/00,Groin strain,1999-12-09,1999-12-19,10.0,4,Ahmet Yıldırım,6905,1.4
24/25,Partial muscle tear,2025-05-14,2025-05-31,17.0,4,Arseniy Batagov,665048,2.4
24/25,Muscle injury,2025-03-20,2025-04-07,18.0,3,Arseniy Batagov,665048,2.6
24/25,Groin injury,2024-12-14,2024-12-23,9.0,2,Arseniy Batagov,665048,1.3
24/25,Fitness,2024-10-09,2024-10-27,18.0,2,Arseniy Batagov,665048,2.6
24/25,Adductor injury,2024-09-24,2024-10-09,15.0,2,Arseniy Batagov,665048,2.1
23/24,unknown injury,2024-05-11,2024-05-20,9.0,2,Arseniy Batagov,665048,1.3
23/24,Muscle injury,2023-09-15,2023-10-09,24.0,5,Arseniy Batagov,665048,3.4
21/22,unknown injury,2022-05-31,2022-06-19,19.0,-,Arseniy Batagov,665048,2.7
24/25,unknown injury,2025-04-15,2025-04-30,15.0,3,Serdar Saatçı,655899,2.1
24/25,unknown injury,2025-01-30,2025-02-06,7.0,2,Serdar Saatçı,655899,1.0
24/25,Muscle injury,2024-10-30,2024-11-20,21.0,2,Serdar Saatçı,655899,3.0
24/25,strain,2024-10-05,2024-10-12,7.0,2,Serdar Saatçı,655899,1.0
23/24,unknown injury,2024-03-16,2024-03-27,11.0,3,Serdar Saatçı,655899,1.6
21/22,pneumonia,2022-01-03,2022-01-08,5.0,1,Serdar Saatçı,655899,0.7
21/22,unknown injury,2021-11-16,2021-11-29,13.0,3,Serdar Saatçı,655899,1.9
24/25,Back injury,2025-06-01,2025-06-15,14.0,2,Thibaut Courtois,108390,2.0
24/25,Muscle injury,2025-03-19,2025-04-04,16.0,4,Thibaut Courtois,108390,2.3
24/25,Achilles tendon problems,2024-10-23,2024-11-23,31.0,5,Thibaut Courtois,108390,4.4
24/25,Adductor tear,2024-09-30,2024-10-18,18.0,4,Thibaut Courtois,108390,2.6
23/24,Meniscus tear,2024-04-01,2024-04-28,27.0,5,Thibaut Courtois,108390,3.9
23/24,Cruciate ligament tear,2023-08-10,2024-03-31,234.0,50,Thibaut Courtois,108390,33.4
22/23,Adductor pain,2023-03-26,2023-03-30,4.0,1,Thibaut Courtois,108390,0.6
22/23,Hamstring injury,2023-02-06,2023-02-17,11.0,3,Thibaut Courtois,108390,1.6
22/23,Sciatica problems,2022-09-29,2022-10-17,18.0,5,Thibaut Courtois,108390,2.6
21/22,Inflammation of pubic bone,2022-05-30,2022-06-30,31.0,4,Thibaut Courtois,108390,4.4
21/22,Corona virus,2021-12-30,2022-01-03,4.0,1,Thibaut Courtois,108390,0.6
20/21,Achilles tendon problems,2020-10-05,2020-10-15,10.0,3,Thibaut Courtois,108390,1.4
19/20,Muscle injury,2020-03-09,2020-03-26,17.0,-,Thibaut Courtois,108390,2.4
19/20,stomach problems,2019-10-03,2019-10-07,4.0,1,Thibaut Courtois,108390,0.6
19/20,Bone sprain,2019-07-29,2019-08-05,7.0,-,Thibaut Courtois,108390,1.0
25/26,unknown injury,2025-09-01,,,-,Andriy Lunin,404839,
24/25,Hand injury,2025-05-14,2025-05-17,3.0,1,Andriy Lunin,404839,0.4
24/25,Muscle injury,2025-04-06,2025-04-17,11.0,3,Andriy Lunin,404839,1.6
24/25,infection,2024-10-06,2024-10-16,10.0,-,Andriy Lunin,404839,1.4
23/24,Back problems,2023-10-08,2023-10-18,10.0,-,Andriy Lunin,404839,1.4
21/22,inflammation,2022-02-25,2022-03-01,4.0,1,Andriy Lunin,404839,0.6
21/22,Corona virus,2021-12-16,2021-12-24,8.0,2,Andriy Lunin,404839,1.1
21/22,Corona virus,2021-08-25,2021-09-06,12.0,1,Andriy Lunin,404839,1.7
20/21,Corona virus,2020-10-05,2020-10-09,4.0,-,Andriy Lunin,404839,0.6
24/25,Cruciate ligament tear,2024-11-09,2025-06-30,233.0,49,Éder Militão,401530,33.3
24/25,Muscle injury,2024-10-08,2024-10-18,10.0,-,Éder Militão,401530,1.4
24/25,muscular problems,2024-09-06,2024-09-13,7.0,-,Éder Militão,401530,1.0
23/24,Fitness,2024-03-13,2024-03-30,17.0,3,Éder Militão,401530,2.4
23/24,Cruciate ligament tear,2023-08-13,2024-03-13,213.0,45,Éder Militão,401530,30.4
22/23,Muscle injury,2023-02-03,2023-02-09,6.0,2,Éder Militão,401530,0.9
22/23,Hamstring injury,2022-09-06,2022-09-16,10.0,3,Éder Militão,401530,1.4
21/22,flu,2022-03-14,2022-03-18,4.0,1,Éder Militão,401530,0.6
20/21,Knock,2021-02-07,2021-03-05,26.0,5,Éder Militão,401530,3.7
20/21,Corona virus,2020-11-02,2020-11-17,15.0,3,Éder Militão,401530,2.1
20/21,Knock,2020-09-16,2020-10-16,30.0,6,Éder Militão,401530,4.3
17/18,Hamstring strain,2017-10-31,2017-11-05,5.0,1,Éder Militão,401530,0.7
24/25,Meniscus tear,2025-04-29,2025-07-31,93.0,11,David Alaba,59016,13.3
24/25,Adductor injury,2025-02-04,2025-02-18,14.0,4,David Alaba,59016,2.0
23/24,Cruciate ligament tear,2023-12-18,2025-01-04,383.0,73,David Alaba,59016,54.7
23/24,Adductor pain,2023-09-27,2023-10-19,22.0,6,David Alaba,59016,3.1
22/23,Hamstring injury,2023-02-22,2023-03-22,28.0,6,David Alaba,59016,4.0
22/23,Muscle injury,2023-01-09,2023-02-03,25.0,7,David Alaba,59016,3.6
21/22,Fitness,2022-06-02,2022-06-06,4.0,2,David Alaba,59016,0.6
21/22,Adductor pain,2022-05-05,2022-05-26,21.0,4,David Alaba,59016,3.0
21/22,Adductor pain,2022-04-28,2022-05-02,4.0,1,David Alaba,59016,0.6
21/22,muscular problems,2022-02-24,2022-02-28,4.0,1,David Alaba,59016,0.6
21/22,muscular problems,2022-01-10,2022-01-13,3.0,1,David Alaba,59016,0.4
21/22,Corona virus,2021-12-20,2021-12-27,7.0,1,David Alaba,59016,1.0
21/22,muscular problems,2021-09-09,2021-09-13,4.0,1,David Alaba,59016,0.6
21/22,Corona virus,2021-07-29,2021-08-02,4.0,-,David Alaba,59016,0.6
20/21,Muscle injury,2021-03-11,2021-03-15,4.0,1,David Alaba,59016,0.6
25/26,muscular problems,2025-07-07,2025-07-13,6.0,1,Trent Alexander-Arnold,314353,0.9
24/25,Ankle injury,2025-03-12,2025-04-17,36.0,4,Trent Alexander-Arnold,314353,5.1
24/25,Hamstring injury,2025-02-02,2025-02-11,9.0,2,Trent Alexander-Arnold,314353,1.3
24/25,Hamstring injury,2024-11-09,2024-11-25,16.0,2,Trent Alexander-Arnold,314353,2.3
23/24,Torn lateral knee ligament,2024-02-13,2024-04-08,55.0,12,Trent Alexander-Arnold,314353,7.9
23/24,Torn lateral knee ligament,2024-01-08,2024-01-28,20.0,4,Trent Alexander-Arnold,314353,2.9
23/24,Hamstring injury,2023-09-04,2023-09-29,25.0,4,Trent Alexander-Arnold,314353,3.6
22/23,Ankle problems,2022-10-10,2022-10-15,5.0,1,Trent Alexander-Arnold,314353,0.7
21/22,Hamstring injury,2022-03-17,2022-03-31,14.0,1,Trent Alexander-Arnold,314353,2.0
21/22,Corona virus,2022-01-03,2022-01-13,10.0,2,Trent Alexander-Arnold,314353,1.4
21/22,muscular problems,2021-09-27,2021-10-14,17.0,2,Trent Alexander-Arnold,314353,2.4
21/22,Hamstring injury,2021-06-03,2021-07-12,39.0,-,Trent Alexander-Arnold,314353,5.6
20/21,Calf injury,2020-11-09,2020-12-07,28.0,5,Trent Alexander-Arnold,314353,4.0
19/20,Ill,2019-10-21,2019-10-28,7.0,2,Trent Alexander-Arnold,314353,1.0
18/19,Back problems,2019-03-18,2019-04-01,14.0,1,Trent Alexander-Arnold,314353,2.0
24/25,Lumbago,2025-05-25,2025-06-15,21.0,2,Federico Valverde,369081,3.0
24/25,muscular problems,2025-02-25,2025-03-02,5.0,2,Federico Valverde,369081,0.7
22/23,Dead leg,2022-10-23,2022-10-27,4.0,1,Federico Valverde,369081,0.6
21/22,flu,2022-03-03,2022-03-07,4.0,1,Federico Valverde,369081,0.6
21/22,Corona virus,2021-12-29,2022-01-01,3.0,-,Federico Valverde,369081,0.4
21/22,sprain,2021-10-25,2021-11-26,32.0,8,Federico Valverde,369081,4.6
20/21,Corona virus,2021-04-21,2021-05-03,12.0,4,Federico Valverde,369081,1.7
20/21,Quarantine,2021-04-17,2021-04-20,3.0,1,Federico Valverde,369081,0.4
20/21,muscular problems,2021-03-23,2021-04-05,13.0,1,Federico Valverde,369081,1.9
20/21,Muscle injury,2021-01-21,2021-02-26,36.0,7,Federico Valverde,369081,5.1
20/21,Shin injury,2020-11-09,2020-12-11,32.0,8,Federico Valverde,369081,4.6
19/20,Muscle injury,2019-09-13,2019-09-20,7.0,2,Federico Valverde,369081,1.0
17/18,Knee injury,2018-02-13,2018-04-02,48.0,9,Federico Valverde,369081,6.9
17/18,Ill,2018-01-05,2018-01-12,7.0,1,Federico Valverde,369081,1.0
24/25,ankle sprain,2024-11-06,2024-12-02,26.0,4,Aurelien Tchouameni,413112,3.7
24/25,Foot injury,2024-09-02,2024-09-16,14.0,1,Aurelien Tchouameni,413112,2.0
23/24,Foot injury,2024-05-08,2024-05-29,21.0,5,Aurelien Tchouameni,413112,3.0
23/24,fatigue fracture,2023-10-28,2023-12-14,47.0,11,Aurelien Tchouameni,413112,6.7
22/23,flu,2023-02-18,2023-02-20,2.0,1,Aurelien Tchouameni,413112,0.3
22/23,Muscle injury,2023-01-09,2023-02-01,23.0,6,Aurelien Tchouameni,413112,3.3
22/23,Muscle injury,2022-10-30,2022-11-04,5.0,2,Aurelien Tchouameni,413112,0.7
21/22,Groin injury,2021-12-30,2022-01-06,7.0,1,Aurelien Tchouameni,413112,1.0
20/21,Ankle injury,2021-04-01,2021-04-05,4.0,1,Aurelien Tchouameni,413112,0.6
23/24,Muscle injury,2023-11-08,2023-12-31,53.0,11,Arda Güler,861410,7.6
23/24,Muscle injury,2023-09-26,2023-10-29,33.0,9,Arda Güler,861410,4.7
23/24,Meniscus damage,2023-07-29,2023-09-26,59.0,9,Arda Güler,861410,8.4
22/23,Fitness,2022-12-17,2022-12-25,8.0,2,Arda Güler,861410,1.1
22/23,Knee injury,2022-11-19,2022-12-17,28.0,-,Arda Güler,861410,4.0
22/23,Stomach flu,2022-09-26,2022-09-30,4.0,-,Arda Güler,861410,0.6
21/22,Stress reaction of the bone,2022-05-05,2022-06-23,49.0,7,Arda Güler,861410,7.0
21/22,laceration wound,2021-12-22,2022-02-01,41.0,7,Arda Güler,861410,5.9
24/25,Muscle injury,2025-02-27,2025-04-07,39.0,8,Dani Ceballos,319745,5.6
24/25,ankle sprain,2024-09-02,2024-10-18,46.0,7,Dani Ceballos,319745,6.6
23/24,Hamstring injury,2023-07-15,2023-08-31,47.0,3,Dani Ceballos,319745,6.7
22/23,Knock,2022-10-06,2022-10-26,20.0,6,Dani Ceballos,319745,2.9
21/22,Muscle injury,2022-05-05,2022-05-14,9.0,2,Dani Ceballos,319745,1.3
21/22,Corona virus,2022-04-14,2022-04-19,5.0,1,Dani Ceballos,319745,0.7
21/22,Ankle injury,2021-07-22,2021-12-18,149.0,35,Dani Ceballos,319745,21.3
20/21,Calf injury,2021-01-15,2021-02-01,17.0,4,Dani Ceballos,319745,2.4
20/21,Ankle injury,2020-10-18,2020-10-24,6.0,1,Dani Ceballos,319745,0.9
19/20,Torn muscle bundle,2019-11-07,2019-12-31,54.0,13,Dani Ceballos,319745,7.7
19/20,Knock,2019-08-08,2019-08-10,2.0,-,Dani Ceballos,319745,0.3
17/18,ankle sprain,2018-01-22,2018-02-13,22.0,4,Dani Ceballos,319745,3.1
16/17,Ankle injury,2017-05-01,2017-05-12,11.0,1,Dani Ceballos,319745,1.6
24/25,ankle sprain,2025-05-12,2025-05-23,11.0,2,Vinícius Jr,371998,1.6
24/25,Muscle injury,2024-11-25,2024-12-08,13.0,4,Vinícius Jr,371998,1.9
24/25,Cervical spine injury,2024-10-06,2024-10-16,10.0,-,Vinícius Jr,371998,1.4
23/24,Torn thigh muscle,2023-11-18,2024-01-01,44.0,8,Vinícius Jr,371998,6.3
23/24,Hamstring muscle injury,2023-08-26,2023-09-26,31.0,6,Vinícius Jr,371998,4.4
22/23,Knee problems,2023-05-24,2023-05-27,3.0,2,Vinícius Jr,371998,0.4
21/22,Corona virus,2021-12-29,2022-01-07,9.0,2,Vinícius Jr,371998,1.3
20/21,Intestinal virus,2020-12-19,2020-12-22,3.0,1,Vinícius Jr,371998,0.4
18/19,Torn lateral knee ligament,2019-03-06,2019-05-03,58.0,11,Vinícius Jr,371998,8.3
24/25,Stomach flu,2025-06-18,2025-06-30,12.0,3,Kylian Mbappé,342229,1.7
24/25,Hamstring injury,2024-12-12,2024-12-17,5.0,1,Kylian Mbappé,342229,0.7
24/25,Muscle injury,2024-09-25,2024-09-30,5.0,1,Kylian Mbappé,342229,0.7
22/23,Hamstring injury,2023-02-02,2023-02-12,10.0,3,Kylian Mbappé,342229,1.4
22/23,Adductor pain,2022-08-05,2022-08-07,2.0,1,Kylian Mbappé,342229,0.3
21/22,infection,2021-10-26,2021-11-02,7.0,1,Kylian Mbappé,342229,1.0
21/22,Calf injury,2021-09-02,2021-09-10,8.0,2,Kylian Mbappé,342229,1.1
20/21,Calf injury,2021-05-05,2021-05-11,6.0,1,Kylian Mbappé,342229,0.9
20/21,Calf injury,2021-04-29,2021-05-03,4.0,1,Kylian Mbappé,342229,0.6
20/21,Thigh problems,2020-11-01,2020-11-15,14.0,4,Kylian Mbappé,342229,2.0
20/21,Corona virus,2020-09-07,2020-09-18,11.0,4,Kylian Mbappé,342229,1.6
20/21,Ankle injury,2020-07-25,2020-08-10,16.0,1,Kylian Mbappé,342229,2.3
19/20,Rest,2020-02-14,2020-02-16,2.0,1,Kylian Mbappé,342229,0.3
19/20,Adductor pain,2019-11-07,2019-11-11,4.0,1,Kylian Mbappé,342229,0.6
19/20,Thigh problems,2019-10-02,2019-10-17,15.0,3,Kylian Mbappé,342229,2.1
24/25,Fever,2025-05-03,2025-05-05,2.0,1,Rodrygo,412363,0.3
24/25,Muscle injury,2024-11-09,2024-11-29,20.0,3,Rodrygo,412363,2.9
24/25,Hamstring injury,2024-10-22,2024-11-04,13.0,2,Rodrygo,412363,1.9
22/23,Rest,2023-05-12,2023-05-15,3.0,1,Rodrygo,412363,0.4
22/23,Rest,2023-05-12,2023-05-15,3.0,1,Rodrygo,412363,0.4
22/23,Rest,2023-05-12,2023-05-15,3.0,1,Rodrygo,412363,0.4
22/23,Rest,2023-05-12,2023-05-15,3.0,1,Rodrygo,412363,0.4
22/23,Left hip flexor problems,2023-02-23,2023-03-01,6.0,1,Rodrygo,412363,0.9
